"pipeline_id","citekey"
"8509eeb1","elvidge2021"
"8449dee0","gfw2022"
"c676dc2b","statisticscanada2016a"
"c676dc2b","statisticscanada2017"
"b9024b04","statisticscanada2022"
"b9024b04","statisticscanada2022a"
"d147406d","statisticscanada2016b"
"d96dec16","statisticscanada2022b"
"4f84f0e3","halpern2008a"
"4f84f0e3","halpern2015"
"4f84f0e3","halpern2015a"
"e775900b","gebco2021"
"7c8c4da1","lyons2020"
"7c8c4da1","lyons2020a"
"70efb2b0","nativelanddigital2022"
"ce594316","isc2022"
"621e9a76","cirnac2020"
"e2349037","venter2016"
"e2349037","venter2016a"
"e2349037","williams2020"
"e2349037","williams2020a"
"103a233e","venter2016"
"103a233e","venter2016a"
"786f7481","nrc2022"
"7a44eaf0","cirnac2019"
"3fa4aeb6","cirnac2019a"
"e328da3a","cirnac2022"
"091d10ec","kirk2018"
"091d10ec","kirk2008"
"0bf96a89","desilva2018"
"0bf96a89","benskin2012"
"caa1fb75","desilva2018a"
"caa1fb75","mcdonough2018"
"d770f210","mffp2022"
"b5433840","isedc2020"
"004b3c51","fmi2019"
"a56e753b","CovidTimelineCanada"
"8b0bbc44","statisticscanada2020"
"8b0bbc44","statisticscanada2020a"
"c71da4d7","statisticscanada2020b"
"d2f44fdf","eccc2022"
"ee7295d7","statisticscanada2020c"
"ee7295d7","statisticscanada2020d"
"852db1a3","statisticscanada2022c"
"b48b01d6","statisticscanada2022d"
"f4abec86","statisticscanada2022e"
"5e4be996","statisticscanada2022f"
"5e4be996","statisticscanada2022"
"929a1773","statisticscanada2021"
"000fd656","statisticscanada2017"
"000fd656","statisticscanada2016c"
"288ca300","statisticscanada2022f"
"288ca300","statisticscanada2022"
